1647777600000,393.30000000,394.30000000,386.50000000,390.90000000,56280.87700000,1647820799999,22006397.40970000,54815,26710.07300000,10448373.89710000,0
1647820800000,391.00000000,396.30000000,385.60000000,394.60000000,68051.09100000,1647863999999,26633330.35370000,49510,34642.08600000,13569832.06050000,0
1647864000000,394.60000000,399.30000000,391.80000000,396.10000000,74825.01600000,1647907199999,29651649.59330000,55940,39530.64800000,15670254.61180000,0
1647907200000,396.20000000,409.80000000,395.10000000,407.50000000,129776.14000000,1647950399999,52474454.94760000,72182,68107.76900000,27554702.65590000,0
1647950400000,407.50000000,410.20000000,402.50000000,404.50000000,72350.69500000,1647993599999,29411736.45620000,50969,36153.67000000,14701072.75500000,0
1647993600000,404.40000000,406.60000000,398.30000000,401.30000000,64043.26900000,1648036799999,25759447.99880000,46833,30520.42500000,12278298.90960000,0
1648036800000,401.40000000,411.80000000,400.00000000,408.50000000,102819.94500000,1648079999999,41730993.32790000,64875,53996.28800000,21922285.41690000,0
1648080000000,408.50000000,413.40000000,406.50000000,409.80000000,86626.85800000,1648123199999,35542927.27390000,56559,47715.22200000,19582152.56590000,0
1648123200000,409.80000000,416.80000000,405.20000000,414.30000000,115771.32700000,1648166399999,47715353.33480000,66575,57742.14400000,23815193.03720000,0
1648166400000,414.40000000,419.70000000,409.80000000,419.30000000,84589.70000000,1648209599999,35068857.12650000,56124,44467.77900000,18445587.08550000,0
1648209600000,419.30000000,421.70000000,405.80000000,410.50000000,106972.00000000,1648252799999,44352599.51140000,73454,50804.34400000,21074926.77480000,0
1648252800000,410.50000000,416.00000000,407.80000000,414.30000000,44907.85000000,1648295999999,18507619.46110000,32745,23116.21400000,9528511.29650000,0
1648296000000,414.30000000,416.50000000,411.50000000,416.10000000,52243.69300000,1648339199999,21612561.29250000,35036,25571.90200000,10582479.55820000,0
1648339200000,416.10000000,418.50000000,414.40000000,415.40000000,39631.65200000,1648382399999,16508992.22150000,29008,19346.62100000,8060896.95460000,0
1648382400000,415.30000000,431.60000000,412.00000000,430.80000000,113543.04100000,1648425599999,47869190.42830000,77763,65078.17400000,27452653.24870000,0
1648425600000,430.80000000,437.20000000,425.10000000,435.60000000,124317.93000000,1648468799999,53773670.56650000,75977,65691.71400000,28426525.67660000,0
1648468800000,435.50000000,441.10000000,427.90000000,430.20000000,141174.53100000,1648511999999,61712604.99730000,91372,71995.53700000,31483082.95630000,0
1648512000000,430.30000000,440.90000000,429.60000000,440.60000000,81486.45000000,1648555199999,35512666.10670000,55897,45056.80500000,19640243.73270000,0
1648555200000,440.50000000,442.10000000,429.70000000,434.30000000,128189.33600000,1648598399999,55857577.15970000,87744,61978.22500000,27018962.08450000,0
1648598400000,434.40000000,440.30000000,425.70000000,439.40000000,89869.03700000,1648641599999,39015033.13310000,68635,47001.58500000,20417606.70270000,0
1648641600000,439.50000000,449.40000000,434.00000000,442.20000000,147353.34200000,1648684799999,65231840.52420000,95221,78046.95200000,34564575.28830000,0
1648684800000,442.30000000,452.30000000,440.60000000,445.10000000,117376.01500000,1648727999999,52371100.27420000,70427,60901.06500000,27181128.63960000,0
1648728000000,445.20000000,449.40000000,424.10000000,429.00000000,186902.55700000,1648771199999,81109617.11750000,124164,87348.34900000,37904095.47890000,0
